Place_id,Title,Category,Distance,Rating,Price,Timing,Closed
TD-1,Red Fort,Heritage,4,3.57,1186,10:00-17:30,Monday
TD-2,Qutub Minar,Heritage,4,3.52,748,8:00-18:00,Nil
TD-3,Humayun's Tomb,Heritage,15,3.59,782,10:00-18:30,Nil
TD-4,Jantar Mantar,Heritage,8,4.28,550,10:00-17:30,Nil
TD-5,Akshardham Temple / Swaminarayan Temple,Heritage,3,3.57,1070,6:00-18:00,Thursday
TD-6,Lotus Temple / Bahai Temple,Heritage,10,3.97,1065,11:00-18:00,Monday
TD-7,Jama Masjid,Heritage,10,4.43,646,6:00-20:00,Wednesday
TD-8,Raj Ghat,Pilgrimage,15,3.47,1149,10:00-17:00,Monday
TD-9,Safdarjung Tomb,Heritage,3,3.7,975,9:00-17:00,"Saturday,Sunday"
TD-10,India Gate,Heritage,5,4.86,1034,7:00-18:00,Nil
TD-11,Dargah Hazrat Nizamuddin,Heritage,7,3.67,731,00:00-11:59,Nil
TD-12,Lodi Garden,Heritage,7,4.77,872,9:00-17:30,Nil
TD-13,Birla Mandir / Laksminarayan Temple,Heritage,4,3.32,871,6:00-20:00,Friday
TD-14,Aadya Katyayani Shakti Peeth Mandir - Chhatarpur,Heritage,3,3.69,1188,10:00-17:00,Monday
TD-15,ISKON Temple,Heritage,6,4.93,717,10:00-17:00,Sunday
TD-16,National Museum,Pilgrimage,4,4.42,967,11:00-18:00,Nil
TD-17,Mehrauli Archaeological Park,Pilgrimage,4,4.3,926,11:00-22:00,Nil
TD-18,National Zoological Park,Pilgrimage,4,3.75,629,4:15–5:15,Nil
TD-19,National Museum Of Natural History,Pilgrimage,15,4.33,623,10:00-19:00,Nil
TD-20,National Science Centre,Museum,4,4.01,767,10:00-17:30,Monday
TD-21,National Gallery Of Modern Art,Heritage,17,4.08,533,9:00-16:30,Nil
TD-22,Alai Minar,Heritage,17,3.42,934,9:30–21:00,Tuesday
TD-23,Alai Darwaza,Wildlife,7,3.55,819,11:00-21:00,Nil
TD-24,Alauddin Khilji Tomb And Madrasa,Museum,3,4.58,520,10:00-22:00,Nil
TD-25,Tomb Of Iltutmish,Museum,6,4.75,507,11:00-19:00,Nil
TD-26,Isa Khan's Tomb And Mosque,Museum,5,4.2,1068,9:30-18:00,Nil
TD-27,Chausath Khamba / Chaunsath Khamba,Museum,5,3.16,1187,11:00-21:00,Nil
TD-28,Barakhamba,Heritage,15,3.63,1095,11:00-21:00,Nil
TD-29,Old Fort / Purana Qila,Heritage,15,4.37,712,11:00-21:00,Nil
TD-30,Tughlaqabad Fort,Heritage,15,3.8,1132,11:00-21:00,Nil
TD-31,Jahaz Mahal,Heritage,15,3.6,651,11:00-21:00,Nil
TD-32,Sri Digambar Jain Lal Temple / Lal Mandir,Heritage,15,4.8,1021,11:00-21:00,Nil
TD-33,Mughal Garden,Heritage,8,4.81,1100,11:00-21:00,Nil
TD-34,Iron Pillar,Heritage,8,4.34,701,11:00-21:00,Nil
